1.7,0,0.3,0.8,-1.3,18.6,0.0741
3.9,0,0.9,0.7,-1,18.7,0.0759
5.5,0,1,0.62,-1.2,18.2,0.0912
7.2,0,0.5,0.6,0,17.7,0.122
9.1,0,3,0.59,1.4,17.3,0.2
9,0,4.7,0.61,1.8,17.5,0.2
8.6,0,4.4,0.63,1.9,18.2,0.2
8.1,0,3.6,0.66,2.1,18.6,0.2
7.5,0,4.6,0.67,1.7,18.9,0.2
7.3,0,3.4,0.69,1.9,19.3,0.2
7.1,0,3.7,0.69,1.7,19.5,0.2
6.9,0,3.1,0.69,1.5,19.7,0.2
6.6,0,3.8,0.7,1.5,20,0.2
6.4,0,3.8,0.69,1.1,20.2,0.2
6.1,0,3.6,0.69,0.8,19.8,0.2
5.7,0,3.2,0.71,0.8,19.6,0.2
5.4,0,2.9,0.71,0.5,19.7,0.2
5.3,0,1.9,0.71,0.4,19.9,0.2
5.1,0,1.9,0.72,0.4,19.9,0.2
4.8,0,3.3,0.73,0.3,19.5,0.2
4.7,0,3.9,0.74,0.4,19.5,0.2
4.7,0,3.5,0.74,0.4,19.8,0.2
4.4,0,4,0.75,0.3,19.9,0.2
5.4,0,3.4,0.71,0.5,20.2,0.2
7.5,0,2.9,0.64,1.1,20.5,0.2
8.8,0,3,0.6,1.4,19.9,0.2
9.9,0,3.3,0.55,1.2,18.9,0.2
11.3,0,2.2,0.49,0.9,18,0.2
11.3,0,1.8,0.49,0.9,17.2,0.2
12,0,1,0.48,1.3,16.7,0.2
11.2,0,1.7,0.5,1.1,16.4,0.2
9.9,0,0.8,0.53,0.7,16.3,0.2
8.4,0,1.1,0.58,0.6,16.7,0.2
7.2,0,0.7,0.63,0.6,17.2,0.2
6.2,0,2.6,0.66,0.3,17.2,0.2
5.5,0,1.5,0.69,0.2,17.4,0.2
4.1,0,1,0.76,0.2,17.1,0.2
3.2,0,0.2,0.79,0,17,0.2
2.6,0,0.3,0.82,-0.1,16.6,0.1937
1.9,0,1.2,0.85,-0.3,16.4,0.2
1.1,0,0.8,0.86,-0.9,16.3,0.1622
0.6,0,0.3,0.89,-1,16.1,0.1591
0.1,0,0.1,0.9,-1.3,15.5,0.1379
-0.3,0,0.4,0.92,-1.4,15.4,0.1142
-0.7,0,0.7,0.93,-1.6,15.6,0.1005
-1.3,0,0.8,0.92,-2.4,15.8,0.0801
-1.3,0,0.2,0.95,-2,16.3,0.0636
-0.5,0,0.4,0.94,-1.3,15.9,0.0964
2.1,0,0.4,0.88,0.3,16.1,0.1009
